district,election_year,num_seats,num_eligible_voters,num_votes,num_blank_votes,num_invalid_votes,num_valid_votes,hasel_1,num_cancelled_votes,num_valid_votes_round_2,hasel_2
beirut_1,2022,8,134825,48311,395,1615,46696,5837,2599,44097,5512.125
beirut_2,2022,11,370862,154721,1498,5795,148926,13538.72727,4792,144134,13103.09091
bekaa_1,2022,7,183425,95377,831,2686,92691,13241.57143,22865,69826,9975.142857
bekaa_2,2022,6,153975,68346,616,2198,66148,11024.66667,6161,59987,9997.833333
bekaa_3,2022,10,341263,195116,1593,3977,191139,19113.9,11880,179259,17925.9
mount_lebanon_1,2022,8,182103,121693,657,3314,118379,14797.375,14899,103480,12935
mount_lebanon_2,2022,8,183441,95853,573,2704,93149,11643.625,12222,80927,10115.875
mount_lebanon_3,2022,6,171746,87114,619,2386,84728,14121.33333,20346,64382,10730.33333
mount_lebanon_4,2022,13,346451,184202,1358,4226,179976,13844.30769,11607,168369,12951.46154
north_1,2022,7,309517,153878,1509,5252,148626,21232.28571,63508,85118,12159.71429
north_2,2022,11,377111,151521,2882,6880,144641,13149.18182,7214,137427,12493.36364
north_3,2022,10,257964,126018,977,3707,122311,12231.1,1204,121107,12110.7
south_1,2022,5,129229,63366,623,2076,61290,12258,27936,33354,6670.8
south_2,2022,7,328064,167557,2135,4474,163083,23297.57143,22706,140377,20053.85714
south_3,2022,11,497531,238610,3042,6410,232200,21109.09091,952,231248,21022.54545
beirut_1,2018,8,137733,44714,313,1048,43666,5458.25,1366,42300,5287.5
beirut_2,2018,11,365147,147801,1077,3972,143829,13075.36364,16922,126907,11537
bekaa_1,2018,7,493411,94082,545,2414,91668,13095.42857,12484,79184,11312
bekaa_2,2018,6,147508,68227,541,1745,66482,11080.33333,1546,64936,10822.66667
bekaa_3,2018,10,323897,190268,701,3199,187069,18706.9,10014,177055,17705.5
mount_lebanon_1,2018,8,180203,117603,465,1984,115619,14452.375,15077,100542,12567.75
mount_lebanon_2,2018,8,183740,92446,558,2044,90402,11300.25,5027,85375,10671.875
mount_lebanon_3,2018,6,168922,80052,538,1585,78467,13077.83333,10760,67707,11284.5
mount_lebanon_4,2018,13,343844,173320,1498,2683,170637,13125.92308,31145,139492,10730.15385
north_1,2018,7,293071,136947,838,3535,133412,19058.85714,21692,111720,15960
north_2,2018,11,416078,151759,2272,5340,146419,13310.81818,21090,125329,11393.54545
north_3,2018,10,272397,117811,1130,2015,115796,11579.6,3160,112636,11263.6
south_1,2018,5,124671,67346,820,1608,65738,13147.6,6238,59500,11900
south_2,2018,7,311953,150264,1753,2962,147302,21043.14286,11481,135821,19403
south_3,2018,11,490362,228563,1980,2775,225788,20526.18182,30584,195204,17745.81818