Arabic,English
مها اسعد الراسي,maha_alrassi
ناهده محمد خليل,nahida_khalil
ريمه حسيب ابو شقرا,rima_abuchakra
باوال نقوال ربيز,paola_rebeiz
ساره سليم ياسين,sara_yasin
فيصل محي الدين التمراوي,faisal_altamrawi
بيروت مدينتي,beirut_madinati
ياسين قاسم فواز,yasin_fawaz
ايمن خضر محمد علي,ayman_ali
نعيم وديع العياش,naim_alayash
سامر محمد يحي غازي,samer_ghazi
علي حسن فصاعي,ali_fasai
مايا سعد الدين شاتيال,maya_shatila
نعم لبيروت,nehm_libeirut
وئام فواز دالل,wiam_dallal
هادي نجيب اديب الحصني,hadi_alhusni
الكسي جبران الحداد,alexei_alhaddad
شيران ديده دنيا رضا علي,shiran_ali
ناصر سهيل محمد,nasir_mohamed
صبره الناصر عبد عمر,omar_sabra
قادرين,qadireen
الديك عادل فؤاد,adel_aldeek
الحلبي عادل سمير,adel_alhalabi
الوتار موفق خلود,muwaffak_alwatar
عيتاني محمد رشا,mohamed_itani
مرعي محمود اياد,mahmoud_merhi
الرحباني حليم دالل,dalal_alrahbani
شهاب القادر عبد عيد محمد,mohamed_shihab
سابا نجيب نقوال,najib_saba
خالد يحي مختار احمد,ahmed_khalid
لتبقى بيروت,litabqa_beirut
ملحم اميل خلف,melhem_khalaf
نهاد سليم يزبك,nuhad_yazbek
هاني انيس االحمدية,hani_alhamdiye
محمود كامل فقيه,mahmoud_fakih
علي كمال عباس,ali_abbas
رشدي عدنان قباني,rushdi_qabbani
وضاح ابراهيم صادق الصادق,waddah_alsadek
سماح حسان حلواني,samah_halwani
فاطمة احمد مشرف,fatima_meshref
ابراهيم حسن منيمنه,ibrahim_mnaimneh
ايمان وائل طباره,iman_tabbara
بيروت التغيير,beirut_altagheer
ماري فادي الجلخ,marie_aljalakh
اياد حسين البنا,iyad_albanna
جهاد علي حمود,jihad_hamoud
محمد بالل خليل العرب,mohamed_alarab
وليد بشيرعيتاني,walid_itani
خالد ابراهيم حنقير,khalid_hanqeer
محمد نهاد محمد بدر الدين ارضروملي,mohamed_ardaroumli
احمد محمد دباغ,ahmad_dabbagh
عدنان خضر طرابلسي,adnan_traboulsi
لبيروت,libeirut
ادكار جوزف طرابلسي,edgard_traboulsi
نسيب كميل الجوهري,nasib_aljawhari
معلوف بيار رمزي,malouf_ramzi
محمد مصطفى خواجه,mohamed_khawaja
امين محمد شري,amin_sherri
المعتصم باهلل فوزي ادهم,almutasim_adham
عبد هللا غسان مطرجي,abd_mutarji
مها ال خليل شاتي,maha_shati
وحدة بيروت,wehdat_beirut
حداد فؤاد جورج,fuad_haddad
فالح ديب ميشال,michel_fallah
فيصل عفيف الصايغ,faisal_alsayegh
احمد ابراهيم عياش,ahmad_ayash
عبد الرحمن يحي المبشر,abdelrahman_almubasher
لينا عمر التنير,lina_altannir
المصري ابراهيم زينه,zeina_almasri
دمشقيه موفق ماجد,majed_dimashkieh
بشيرمحمود عيتاني,bashir_itani
خالد الدين محي قباني,khaled_qabbani
بيروت تواجه,beirut_tuwajeh
فخر ابو رمزي وسام,wissam_fakhr
عيتاني الحفيظ عبد نبيل,nabil_itani
عاصي الفقار زو هدا,huda_assi
سالم رفيق مروان,marwan_salam
بزي حسن حيدر,haidar_bazzi
كوزيان كوك صموئيل هاروتيون,harutioun_kozian
برمانه اميل خليل,khalil_broumana
يسرى الحفيظ عبدالتنير,yusra_altannir
محمود الدين محي الجمل,mahmoud_aljamal
عماد مدحت الحوت,emad_alhout
نبيل محمد عثمان بدر,nabil_badr
هيدي بيروت,haydi_beirut
عمر منح الدبغي,omar_aldabghi
زينه نبيه مجدالني,zeina_majdalani
زينه كمال منذر,zeina_munther
لينا محمد علي حمدان,lina_hamdan
الفت حمزه السبع,ulfat_alsabi
نبيل احمد بسام نجا,nabil_naja
مازن فايز شبارو,mazen_shbarro
عبد اللطيف رياض عيتاني,abdellatif_itani
كريم فؤاد شبقلو,karim_shabaqlo
حسن عفيف كشلي,hasan_kashli
فؤاد مصطفى مخزومي,fuad_makhzoumi
بيروت بدها قلب,beirut_badha_qalb
عدد المعول عليه مع الأوراق البيضاء,complete_and_white_ballots
عدد الأوراق البيضاء,white_ballots
عدد الأوراق الباطلة,invalid_ballots
عدد المقترعين,number_voters
قلم الإقتراع,polling_place
محلة / بلد الإغتراب,geographic_locale
موقع قلم الإقتراع,voter_category
لجان القيد الإبتدائية,primary_registration_number
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,united_kingdom
جمهورية روسيا إالتحادية,russia
إالكوادور,ecuador
المزرعة,almazraa
المملكة أالردنية الهاشمية,jordan
لوكسمبورغ,luxembourg
الجمهورية الفرنسية,france
جمهورية مصر العربية,egypt
جمهورية فنزويال البوليفارية,venezuela
زقاق البالط,zuqaq_alblat
الكونغو,congo
التوغو,togo
بوركينا فاسو,burkina_faso
جمهورية كوت ديفوار,cote_divoire
الباشورة,bachoura
لبنان,lebanon
الجمهورية إاليطالية,italy
زامبيا,zambia
دولة إالمارات العربية المتحدة,united_arab_emirates
دار المريسة,dar_almreisseh
رأس بيروت,ras_beirut
المملكة العربية السعودية,saudi_arabia
المملكة المغربية,morocco
مملكة السويد,sweden
الجمهورية الهيالنية,greece
المرفأ,almarfaa
دولة الكويت,kuwait
بيروت الثانية موظفون,beirut_ii_employees
ايرلندا,ireland
الواليات المتحدة أالميركية,united_states
جمهورية نيجيريا إالتحادية,nigeria
جمهورية سيراليون,sierra_leone
سلطنة عمان,oman
اسبانيا,spain
مملكة البحرين,bahrain
إالتحاد السويسري,switzerland
الجمهورية العراقية,iraq
الجمهورية الفدرالية البرازيلية,brazil
الجمهورية الغابونية,gabon
جمهورية السنغال,senegal
مملكة بلجيكا,belgium
دار المريسة,dar_almreisseh
مالي,mali
الواليات المتحدة أالميركية، لوس انجلس,los_angeles
المكسيك,mexico
الجمهورية العربية السورية,syria
أنغويال,angola
جمهورية غينيا,guinea
المرفأ,almarfaa
المزرعة,almazraa
استراليا,australia
جمهورية جنوب أفريقيا,south_africa
جمهورية قبرص,cyprus
بنين,benin
مملكة هوالندا,holland
جمهورية ألمانيا إالتحادية,germany
الكاميرون,cameroon
النمسا,austria
دولة قطر,qatar
الجمهورية التركية,turkey
جمهورية كولومبيا,colombia
ميناء الحصن,mina_alhosn
جمهورية ليبيريا,liberia
رومانيا,romania
كندا,canada
الجمهورية إالسالمية إاليرانية,iran
مملكة اسبانيا,spain
المصيطبة,almsaytbeh
جمهورية الكونغو الديمقراطية,democratic_republic_congo
جمهورية بولندا,poland
إغتراب,diaspora
عصام بشير برغوت,essam_barghout
معروف محمود عيتاني,marouf_itani
محمود عبد القادر كريدية,mahmoud_kreidieh
سعد الدين حسن خالد,saadeddine_khaled
رنا محمد سمير الشميطلّي,rana_alshmaytalli
يوسف محمد بيضون,yousef_beydoun
نديم قزحيا قسطه,nadim_qusta
ابراهيم محمد الحلبي الدلال,ibrahim_aldallal
حنان احمد عثمان,hanan_othman
ُرلى توفيق الحوري,rula_alhouri
فاتن فيصل زين,faten_zein
فراس عبد الرحمن منيمنه,firas_mnaimneh
يوسف عبد القادر الطبش,yousef_altabash
نعمت هاشم بدر الدين,neimat_badreddine
هاني رامز فياض,hani_fayyad
عمر نجاح واكيم,omar_wakim
نبيل رياض السبعلي,nabil_alsabali
صلاح الدين يوسف سلام,salaheddine_salam
محمد نبيل عثمان بدر,mohamed_badr
بشار حسين قوتلي,bashar_kouatly
سعد الدين نمر الوزان,saadeddine_alwazzan
مصطفى بشير بنبوك,mustafa_banbouk
ابراهيم محمد مهدي شمس الدين,ibrahim_shamseddine
سلوى ايوب خليل,salwa_khalil
سعيد علي حلبي,said_halabi
جورج غسان شقير,george_choukair
خالد محمود حمود,khalid_hammoud
خلود موفق الوتار,khuloud_alwattar
محمد نبيل شاتيلا,mohamed_shatila
محمد خير صالح القاضي,mohamed_alqadi
جهاد حسن الاحمد مطر,jihad_matar
حنان عدنان الشعار,hanan_alchaar
رجا رفيق الزهيري,raja_alzuhairi
علي حسين سبيتي,ali_sbaiti
مخايل بهاء مخايل,mikhael_mikhael
عدنان خضر طرابلسي,adnan_traboulsi
عمر عبد القادر غندور,omar_ghandour
امين محمد شري,amin_sherri
محمد مصطفى خواجه,mohamed_khawaja
محمد امين انور بعاصيري,mohamed_baasiri
زياد غازي عيتاني,ziad_itani
عامر احمد اسكندراني,amer_iskandarani
اكرم محمد سنو,ikram_sinno
بشاره نعيم خير الله,bechara_khairallah
زينه شوقي منصور,zeina_mansour
ياسين معروف قدادو,yasin_qdado
صفيه معروف ظاظا,safiye_zaza
رولا نزار الطبش,rula_altabash
غازي علي يوسف,ghazi_yousef
نزيه نقولا نجم,nazih_nejm
سعد الدين رفيق الحريري,saadeddine_alhariri
تمام صائب بك سلام,tamam_salam
نهاد صالح المشنوق,nouhad_almachnouk
باسم الدكتور رمزي الشاب,basem_alshab
ربيع محمد حسونه,rabih_hasouneh
علي كمال الشاعر,ali_alshaer
زاهر وليد عيدو,zaher_aido
وليد شفيق شاتيلا,walid_shatila
عبد الكريم حسين عيتاني,abdelkarim_itani
عبد الرحمن خضر الغلايني,abdelrahman_alghalayini
خالد ابراهيم حنقير,khaled_hankir
خالد سعيد ممتاز,khaled_mumtaz
وسام سعيد عكوش,wissam_akoush
ليون سورين سيوفي,leon_sioufi
انديرا سمير الزهيري,andrea_alzuhairi
فادي بهنان زرازير,fadi_zarazir
موظفون,employees